article_id,store_id,promo_year,event_code,promo_type,start_date,end_date,is_in_flyer,flyer_code
7524275,228,2017,L3,20,2017-12-01,2017-12-31,f,
102029,228,2017,D0,11,2017-11-13,2017-11-23,f,
2797988,228,2017,D3,11,2017-12-09,2017-12-14,f,
8022275,228,2017,D2,15,2017-11-30,2017-12-08,f,
4140782,228,2017,L3,10,2017-12-01,2017-12-31,f,
6909905,228,2017,D3,11,2017-12-09,2017-12-14,f,
9880799,228,2017,L3,20,2017-12-01,2017-12-31,f,
7418710,228,2017,L3,20,2017-12-01,2017-12-31,f,
286286,228,2017,D2,11,2017-11-30,2017-12-08,f,
8286660,228,2017,D2,11,2017-11-30,2018-01-07,f,
9135455,228,2017,D2,15,2017-11-30,2017-12-08,f,
292270,228,2017,L3,10,2017-12-01,2017-12-31,f,
7303078,228,2017,D3,10,2017-12-09,2017-12-14,f,
1324017,228,2017,D4,11,2017-12-15,2017-12-31,t,
107451,228,2017,Z6,11,2017-06-01,2017-12-31,f,
1367830,228,2017,D2,25,2017-11-30,2017-12-08,f,
180843,228,2017,D2,15,2017-11-30,2017-12-08,f,
8903284,228,2017,D2,11,2017-11-30,2017-12-08,f,
8270942,228,2017,D2,11,2017-11-30,2017-12-08,f,
115135,228,2017,W2,11,2017-11-02,2018-02-02,f,
115555,228,2017,W2,11,2017-11-02,2018-02-02,f,
115975,228,2017,W2,11,2017-11-02,2018-02-02,f,
117153,228,2017,Z6,11,2017-06-08,2017-12-31,f,
117214,228,2017,W2,11,2017-11-02,2018-02-02,f,
7077375,228,2017,D2,11,2017-11-30,2017-12-08,f,
8080503,228,2017,D2,15,2017-11-30,2017-12-08,f,
117252,228,2017,W2,11,2017-11-02,2018-02-02,f,
9150021,228,2017,D2,15,2017-11-30,2017-12-08,f,
603229,228,2017,D2,11,2017-11-30,2017-12-08,f,
118617,228,2017,W2,11,2017-11-02,2018-02-02,f,
118648,228,2017,W2,11,2017-11-02,2018-02-02,f,
119201,228,2017,W2,11,2017-11-02,2018-02-02,f,
8984078,228,2017,L3,10,2017-12-01,2017-12-31,f,
9339747,228,2017,D2,20,2017-11-30,2017-12-08,t,E
123147,228,2016,Z5,11,2016-05-18,2017-12-31,f,
9025497,228,2017,D2,11,2017-11-30,2017-12-08,t,E
